excerpt,target_classification
"Asistente de Control Interno
Asistente de Control Interno **PROGRAMA:** Dirección Ejecutiva **UBICACION:** Bogotá, Colombia / con desplazamiento por el país **GRADO**: (5) Asistente **Tipo de Contrato:** Fijo **SALVAGUARDA DE LA INFANCIA:** Nivel 2 - El titular del puesto tendrá acceso a los datos personales de niños y niñas como parte de su trabajo; por esta razón será un requisito la verificación policial. El Marco de Salvaguarda se compone por tres políticas y un Código de Conducta: Política de Salvaguarda de la niñez, Política para la Protección contra el Abuso, el Acoso y la Explotación Sexual (PSEAH) o Salvaguarda de la adultez y Política Antiacoso, Antidiscriminación y/o anti Bullying. Nosotros necesitamos mantener procesos seguros de selección, por lo cual se incluyen verificaciones rigurosas de antecedentes, Refleja nuestro compromiso con la protección de los niños contra el abuso **OBJETIVO DEL CARGO:** Apoyar las actividades y procesos del área, el cumplimiento y ejecución de los planes de acción de prevención del fraude y de control interno, realizando revisiones y seguimiento de procesos y procedimientos y asegurando todas las acciones que se requieran para garantizar los resultados previstos. **PRINCIPALES ÁREAS DE RESPONSABILIDAD:** - Ejecutar las auditorías internas de acuerdo con el plan de acción establecido y generar los informes correspondientes, de acuerdo con el proceso establecido para remitirlos a los responsables directos. - Apoyar en el proceso de revisión y actualización de políticas y procedimientos organizacionales de acuerdo con los requerimientos establecidos. - Brindar apoyo y fortalecimiento en el control interno de la organización con el fin de garantizar un mejoramiento continuo en los procesos. - Apoyar en la recopilación de información y documentación para el desarrollo y fortalecimiento del mejoramiento continuo de la organización y ejecución de las actividades del área. - Apoyar en la implementación y sensibilización de la política de fraude de SCI y sus respectivas denuncias; fomentar activamente la notificación de sospechas de desviación de los valores de SCI por parte del personal o establecer normas de fraude, conducta no ética, negligencia o actividad delictiva dentro de SCI. - Brindar capacitación continua de actualización/refrescamiento e inducción de la política de fraude, soborno y corrupción según sea apropiado para todo el personal, voluntarios y socios. - Apoyar la identificación de riesgos de fraude, soborno y corrupción en la implementación en contextos de emergencia y en los diferentes procesos de la organización, así como las acciones de mejora y lecciones aprendidas. - Acompañar y gestionar las sospechas de fraude asegurando que puedan ser notificadas eficazmente de acuerdo con la política y el procedimiento y reportando a la Coordinadora Nacional de Control Interno. - Apoyar en los procesos de investigaciones sobre las sospechas de fraude; dando cumplimiento a los protocolos establecidos y de acuerdo con lo que considere la coordinación del área. - Apoyar en iniciativas para promover activamente la notificación de sospechas de las situaciones de fraude y conflicto de intereses por parte del staff. - Garantizar confidencialidad de los reportes y casos de fraude de los que tenga conocimiento, de acuerdo con las normas y acuerdos establecidos. - Apoyar con la organización y generación de material para la capacitación de la política de fraude, soborno y corrupción, teniendo en cuenta los roles y áreas a la que va dirigida, tanto interna como externamente. - Gestionar espacios con las diferentes áreas y oficinas de terreno para fortalecer temas de control interno y de prevención del fraude. - Proponer actividades para generar información de prevención de fraude, soborno y corrupción en las diferentes oficinas de terreno. - Acompañar la representación de la organización bajo delegación de la","[""Protection and Human Rights""]"
"Humanitarian Policy and Advocacy Advisor
The Opportunity The Humanitarian Policy Advisor is responsible for supporting the Policy, Advocacy and Campaigns team in developing complex policy positions and answers to difficult policy questions on humanitarian issues in Afghanistan and support in reporting and developing briefings and research humanitarian issues in Afghanistan. In the event of a major humanitarian emergency, the role holder will be expected to work outside the normal role profile and be able to vary working hours accordingly. KEY AREAS OF ACCOUNTABILITY: Advocacy development and implementation \* Draft regular humanitarian policy products, including regular reports education and literacy, child protection, children and armed conflict and violence against children. \* Support and advance the Afghanistan CO policy objectives during emergencies, including drafting and distributing plans, advocacy-policy messages, policy briefs, and letters to governments, policymakers and other stakeholders, \* Support thematic directors/advisors to articulate their top priority policy objectives in line with the new Country Strategic Plan \* Identify key opportunities and events for the Afghanistan CO to position itself as the leading organisation for children's issues in the country \* Work with global campaigns team to ensure alignment with Afghanistan priorities Reporting \* Provide project management, communications, policy and administrative support to the Advocacy, Media, Campaigns and Communications team, Save the Children Afghanistan CO partners, senior management, and other departments around priority initiatives and events including humanitarian appropriations. \* Gather information, edit for length and clarity and support field teams in communicating and reporting on key programme and humanitarian developments in Afghanistan Research \* Conducting a rigorous analysis of relevant existing secondary data and previously un-analysed primary data and write a short overview of key findings and trends; \* Conducting interviews with key SCI staff and potentially external experts on the topic of humanitarian policy, child protection and psychosocial support in displacement contexts; \* Drafting a policy brief on the on the interlinkage of humanitarian policy issues and ongoing conflict in Afghanistan, with concrete policy recommendations, incorporating comments from the SCI team and delivering a final version. \* Represent emergency- and response-related policy views of Save the Children in meetings with other departments within Save the Children as well as with other non-governmental organizations (NGOs) and policy makers stakeholders; \* Contribute meaningful input into initiatives and communiqués; report on and track all relevant joint initiatives. BEHAVIOURS (Values in Practice) Accountability: \* holds self accountable for making decisions, managing resources efficiently, achieving and role modelling Save the Children values \* holds the team and partners accountable to deliver on their responsibilities - giving them the freedom to deliver in the best way they see fit, providing the necessary development to improve performance and applying appropriate consequences when results are not achieved. Ambition: \* sets ambitious and challenging goals for themselves and their team, takes responsibility for their own personal development and encourages their team to do the same \* widely shares their personal vision for Save the Children, engages and motivates others \* future orientated, thinks strategically and on a global scale. Collaboration: \* builds and maintains effective relationships, with their team, colleagues, Members and external partners and supporters \* values diversity, sees it as a source of competitive strength \* approachable, good listener, easy to talk to. ","[""Protection and Human Rights"",""Gender""]"
"Regional Protection Coordinator
Regional Protection Coordinator **Unit/department:** Programme**,** Asia Regional Office **Location:** Temporarily based in the Dhaka Asia RO, to be subsequently relocated to Bangkok, pending DRC’s registration in Thailand; 50% travel in the region **Overall purpose of the role:** A commitment to protection is at the core of DRC’s mission. The Regional Protection Coordinator is the organisation’s regional expert within the protection sector. In the Asia region (Afghanistan, Bangladesh, Myanmar), protection concerns facing refugees, returnees, IDPs, as well as people in mixed migratory flows, are central to informing DRC’s programme and policy interventions. The purpose of the Regional Protection Coordinator is to strengthen protection in DRC’s programmes and response. The Regional Protection Coordinator is responsible to lead on the development of regional protection trends analysis, technically support Protection staff in country programmes, support in building technical capacity, lead in building the centrality of protection via contributing to programme and proposal development, and represent DRC to key regional partners stakeholders and forums. The position will also support DRC’s wider work in the Asia region, through collaboration with the Asia Displacement Solutions Platform (ADSP) and the Mixed Migration Centre (MMC – Asia), which is grounded in protection of persons and communities affected by displacement and migration trends. The most direct counterparts for the RPC in her/his daily work will be country-level Heads of Programme, and protection coordinators or managers. The RPC will have an advisory and technical supervisory role vis-à-vis the in-country protection lead/coordinator/specialist. The RPC will report to the Regional Head of Programme for DRC Asia and have a technical compliance reporting line to Head of DRC’s Global Protection Unit (GPU) in HQ. **Responsibilities:** **STRATEGY DEVELOPMENT** - Develop, in consultation with Regional Advocacy, CO Heads of Programme, ADSP and MMC-Asia a regional protection strategy and across the Asia region, in line with the global protection strategy & priorities. Provide technical support for Country Offices to develop their own protection strategies, based on protection analysis. - Seek out opportunities (research, cross-border projects) in collaboration with ADSP, MMC Asia, Regional Advocacy and other relevant stakeholders in the region to further explore aspects of DS in the Asia context. **PROTECTION TRENDS ANALYSIS** - Develop a regular Asia regional protection trends analysis for the region to help inform programming, policy, advocacy and preparedness. - Provide technical support to country programmes to ensure quality protection analysis, strategies, and responses are in adherence with global standards and principles (DRC Protection Minimum Operational Procedures – P-MOPs). **TECHNICAL SUPPORT, CAPACITY BUILDING, & PROGRAMME DEVELOPMENT** - Lead the development and/or roll out of global and regional DRC protection standards and guidance; development of strategic protection documents, Standard Operating Procedures, and capacity-building tools at the regional level. To this end, provide technical support to country offices, particularly in the following programmatic areas: legal aid, protection information management (PIM), including protection monitoring and case management, psycho-social support, gender-based violence, community-based protection, and gender sensitive and gender transformative practices and approaches. - Provide technical review and/or support the development of proposals at CO-levels to ensure the centrality of protection, harmonization of protection standards, and that protection principles are integrated across technical sectors, specifically, DRC’s humanitarian disarmament and peacebuilding and economic recovery sectors. - Lead on","[""Protection and Human Rights""]"
"Protection (Gender Based Violence) Manager
Danish Refugee Council, one of the world’s leading humanitarian NGO’s is recruiting for a highly qualified **Protection (Gender Based Violence) Manager** to support DRC’s gender based violcnce activities in Bentiu, Unity State in South Sudan. **Background** Danish Refugee Council (DRC) is operational in South Sudan since 2005, working with the overall aim of achieving durable solutions for displaced populations. The Humanitarian and Disarmament activities started in 2006. Danish Refugee Council main programme objectives (2020-2025) in South Sudan are: 1. To save lives and alleviate suffering among displaced people and their hosts 2. To reduce displacement related risks and support and facilitate solutions 3. To promote peaceful, inclusive and resilient societies and address root causes to displacement DRC primarily operates across Upper Nile and Unity states and other parts of the country, both of which are heavily affected by conflict and experience high numbers of internally displaced populations as well as refugees in need of humanitarian assistance. DRC has operational bases in Maban, Malakal, Kodok and Aburoc in Upper Nile, in Bentiu, Mayom, Kodok, Central Equatoria (Magwi and Ngulere), Ajuong Thok in Unity state, and the Mobile Response Team and all are supported by a country-office in Juba. DRC recently developed important multi-sectorial mobile response teams based in Juba able to rapidly respond to new and urgent humanitarian situations countrywide at short notice to conduct assessments and responses **Overall Purpose of the role** The Protection GBV Manager is in charge of the GBV programme implemented by DRC in Unity State, and is based in Bentiu. The Protection GBV Manager will be directly responsible for the implementation of GBV activities and GBV staff supervision in specific locations in Bentiu, Rubkhona, Guit, counties and Beyond Bentiu Response. The role will include regular monitoring missions to these locations. The Protection GBV Manager is the lead for DRC in engaging with relevant actors on GBV and the coordination mechanisms at state-level, including the GBV sub-cluster in Bentiu, and has a direct communication line with the Protection Coordinator at national level. **Responsibilities** To achieve the objectives of the position, the (GBV) Manager is in charge of the following tasks: **Programme Management:** - Contribute to the design of GBV projects for the Area Office under the guidance of the Protection Coordinator, and responsible for planning and timely implementation of GBV protection activities, ensuring adherence to DRC policies and procedures. - Ensure GBV principles and guidelines are known and strictly followed by all GBV staff and ensure GBV activities are always implemented in accordance with international standards. - Overall responsible for rigorous application of project cycle management standards to achieve program quality in design, implementation, and monitoring; for example, strengthening data collection, in-depth reporting and analyses, monitoring accountability initiatives, and documenting the impact of DRC presence in the field. - Initiate prevention and response activities based on community recommendations, and implement *SASA!* methodology prevention activities. - Provide specialized trainings for staff, including (but not limited to): case management, GBVIMS, PSS, GBV mainstreaming, GBV prevention approaches for the community, economic empowerment initiatives. - Actively collaborate with the protection, shelter, FSL, and camp management colleagues to seek program synergies and to ensure comprehensive assistance to the persons of concern. - Collaborate with other protection and humanitarian actors and work towards mainstreaming GBV in other sectors - Monitor and analyse main GBV concerns and advocate with relevant stakeholders with the aim of mitigating risks. -","[""Gender"",""Protection and Human Rights""]"
"Venezuela - Coordinador País
**COOPI está buscando un Coordinador País en Venezuela** COOPI opera en América Latina desde 1967, por ende a pocos años desde su fundación. El trabajo de COOPI en la región se ha ido adaptando al contexto de cada país, según las necesidades encontradas, las oportunidades generadas con los mismos beneficiarios, los colaboradores y los socios locales. Hoy en día seguimos operando en Bolivia, Ecuador, Guatemala, Haití, Paraguay, Perú y Venezuela. Además de los países reportados, COOPI también es legalmente activa en Colombia, donde tiene su sede de Coordinación Regional para América Latina y el Caribe y donde actualmente realiza diagnósticos e identificaciones / formulaciones de posibles intervenciones en colaboración con OSC y autoridades. Desde finales de 2018 coordinamos con diferentes actores en el marco del Refugees and Migrants Response Plan (RMRP) en respuesta a la crisis migratoria venezolana en la región, interviniendo primeramente en la frontera norte de Perú y sucesivamente también en Ecuador y Venezuela. Desde 2019, COOPI, es presente en Venezuela y trabaja principalmente en asocio con OSC locales, las contrapartes identificadas, a través de una estructura articulada o de la pertenencia a redes de organizaciones de la sociedad civil, permiten asegurar un alcance territorial significativo y una sólida aceptación por parte de las comunidades e autoridades locales. En Venezuela, se han identificado distintas áreas temáticas de intervención, además COOPI es parte de los clusters de Nutrición, Seguridad Alimentaria, Agua, Saneamiento e Higiene, Protección y Alojamiento, Energía y Enseres. ## Descripción del puesto **Coordinación, gestión y supervisión del trabajo de COOPI** y de sus socios locales en el país, asegurando la formación y **acompañamiento previstos en el marco de los programas en curso**, en el respeto de los procedimientos de COOPI, de los donantes y de los marcos legales de referencia. ## Areas de responsabilidad Responsabilidades - **Programas**: garantiza la implementación y el monitoreo de los programas de COOPI en curso en el país. - **Recursos humanos**: gestión interna asegurada del personal contratado y de los consultores. - **Operaciones**: garantiza la definición y la supervisión de las operaciones de manera efectiva (logística, administración, programas), de acuerdo con la realidad local y las condiciones de seguridad. - **Recaudación de fondos**: Identifica y supervisa oportunidades programáticas complementarias a las en curso y la posible financiación (donantes institucionales, agencias de naciones unidas y sector privado). - **Alianzas**: gestiona alianzas con OSC locales e ONG internacionales, con las cuales implementar, identificar/formular proyectos en consorcio, la gestión efectiva de cualquier acuerdo de asociación y su desarrollo. - **Sectores**: promueve la experiencia de COOPI en los distintos grupos que conforman la arquitectura humanitaria en el país de referencia, en los foros de las ONGI, en general, con el sector público y privado. - **Registro**: supervisa los procesos de registro legal para que COOPI pueda operar en el país. Actividades principales - **Coordinación y supervisión general** de las actividades de los programas en curso. - Actualizar constantemente las **prioridades sectoriales y geográficas** de acuerdo con la continua evolución de la situación humanitaria. - Coordinar la organización, ejecución y formulación de evaluaciones de necesidades, en línea con las prioridades sectoriales y geográficas. - Supervisar y coordinar la eventual **identificación y formulación de propuestas de proyectos complementarios**, directamente y/o en consorcio con asociados locales o internacionales. - **Representar y posicionar a la organización** en los diversos espacios de coordinación tanto con la comunidad internacional (**donantes, organismos de las Naciones Unidas, ONG","[""Coordination"",""Protection and Human Rights""]"
"Venezuela - Coordinador/a Consorcio
**COOPI está buscando un Coordinador/a de Proyecto en Venezuela** Desde 2019 COOPI establece una presencia en Venezuela para asistir a la población local tras el agravamiento de la crisis socioeconómica del país. A partir de julio de 2020, inicia un programa regional de respuesta a la crisis que se implementa en consorcio con organizaciones venezolanas para la protección de grupos vulnerables. En estos años COOPI ha ampliado sus intervenciones y actualmente ejecuta proyectos con diferentes donantes en Caracas, Lara, Carabobo, Anzoátegui, Sucre y Delta Amacuro en protección (GBV, Protección Infantil, Trata y trafico de personas), salud sexual reproductiva, WASH (agua, saneamiento e higiene) y alimentación escolar. ## Descripción del puesto COOPI está buscando un/a **Coordinador/a de Proyecto**, con sede en la oficina de **Caracas**,que será **coordinada por COOPI e implementada en consorcio con CESVI, ACTED, Première Urgence Internationale, Solidarités International y organizaciones locales**. La intervención tiene como propósito la **respuesta multisectorial, integral y coordinada** a las necesidades más urgentes de la población más vulnerable afectada por la compleja crisis en Venezuela a través de la provisión de servicios y asistencia en los sectores de Protección (GBV, VoT), Salud, WASH y Seguridad Alimentaria. **Las organizaciones del Consorcio concentrarán sus acciones en siete (7) estados de Venezuela**: Distrito Capital, Miranda, Zulia, Falcón, Lara, Sucre y Delta Amacuro. La Coordinación del Consorcio tiene como responsabilidad garantizar la gestión del mismo a nivel estratégico, operativo y financiero en línea con los principios del donante y acorde a los lineamientos definidos por COOPI y los Co-partners. La supervisión será llevada a cabo directamente por el Coordinador País de COOPI. ## Areas de responsabilidad **Responsabilidades Generales** - Asegurar el **cumplimiento de los principios y de las politicas del donante principal, de COOPI**, así como los lineamientos y herramientas generadas en el marco del mismo consorcio. - Desarrollar y supervisar la **estrategia de coordinación interna** **y externa del Consorcio**. - Coordinar con las autoridades locales competentes, las comunidades involucradas y los otros actores humanitarios (ONG, Naciones Unidas) que intervienen en la zona, y gestionar las alianzas que se estarán generando. - **Representar a COOPI y el Consorcio** con las comunidades, con las autoridades locales y con los donantes, en reuniones de coordinación, visitas y eventos, de acuerdo al contexto y las necesidades de la intervención. - Gestionar el personal del proyecto y asegurar el desarrollo de sus capacidades. - Asegurar la **comunicación interna y externa al país sobre las actividades del proyecto**, así como la **visibilidad basica del donante y de las organizaciones** que implementan la intervención. **Responsabilidades Especificas** - Coordinación: - Asegurar la adecuada **coordinación e implementación de las actividades entre las organizaciones del Consorcio y el cumplimiento de sus objetivos**, de acuerdo a los estándares técnicos, cualitativos y de tiempo previstos. - Garantizar la **operatividad del proyecto implementado** de acuerdo a las prácticas y políticas de la organización y del Consorcio, asegurando que todos los actores que participan estén informados y asuman el rol que les compete. - **Garantizar una comunicación continua y efectiva** entre los Comités del Consorcio (Comité de Coordinación y Comité técnico) y sus mecanismos de coordinación interna. - Realizar la coordinación directa con el donante. - Coordinar posibles acciones con otros socios del donante en los diferentes territorios y con actores relevantes (INGO, NNUU) con presencia en las áreas de intervención garantizando la articulación y complementariedad de las acciones del","[""Health"",""Protection and Human Rights"",""Water Sanitation Hygiene""]"
"Coordenador de Grupo de Trabalho (Cluster) de Educação
**ANÚNCIO DE VAGA** **A SAVE THE CHILDREN INTERNACIONAL (SCI**), uma organização humanitária sem fins lucrativos com seu enfoque virado ao bem-estar da criança, está a recrutar candidatos para a vaga abaixo mencionada: **(1) Coordenador de Grupo de Trabalho (Cluster) de Educação MP- SC 09/22 - Maputo** **Propósito** A abordagem de cluster é de garantir liderança clara, previsibilidade e responsabilidade em emergências a nível internacional, esclarecendo a divisão do trabalho entre as organizações e definindo melhor seus papéis e responsabilidades dentro dos diferentes sectores da resposta. O objectivo é tornar a comunidade internacional mais organizada, responsável e profissional, para que possa ser um parceiro melhor para as pessoas afectadas, governos anfitriões, autoridades locais, sociedade civil local e parceiros de financiamento. O(A) Coordenador(a) de Grupo de trabalho (Cluster) de Educação será um membro central da equipa de Coordenação do Grupo de trabalho. O objectivo é gerir a coleta, análise e partilha de informações que são importantes para os participantes do Grupo de trabalho para tomarem decisões estratégicas informadas, baseadas em evidências; e para permitir que o Grupo de trabalho desempenhe suas funções principais. O(A) Coordenador(a) de Grupo de trabalho (Cluster) de Educação terá um papel de coordenação enquanto se concentra na produção de informação oportuna e relevante para os decisores do Ministério da Educação e Desenvolvimento Humano, comunidade de doadores, organizações da sociedade civil locais e internacionais que operam na Educação em Emergência em Moçambique. Em caso de emergência humanitária grave, espera-se que o titular do papel trabalhe fora do perfil normal e possa variar as horas de trabalho em conformidade. **Qualificações** - Nível de Licenciatura, de preferência outro nível universitário avançado, em uma área temática relevante, Educação, Humanitária, Desenvolvimento Internacional e Gestão da Informação; Vasta experiência de trabalho fora do sector humanitário relevante para este posto pode ser considerada como um substituto da experiência humanitária; - Extensa experiência de trabalho fora do sector humanitário que seja relevante para este cargo pode ser considerada como um substituto para a experiência humanitária; - Treinamento formal em gestão de informações de cluster também é desejável. **Experiência e Habilidades** **Essencial** - Mínimo de 4 anos de experiência de trabalho progressivamente responsável com a ONU, governo e/ou ONG, inclusive em um contexto humanitário; - Experiência prévia no desenvolvimento de estratégias de intervenção Educação em Emergência; - Experiência na concepção e liderança de intervenções de capacitação para parceiros em Educação em Emergência; - Experiência de representação e capacidade de representação efectiva do Grupo de Trabalho de Educação em fóruns externos; - Experiência de trabalho e apoio a parceiros locais; - Capaz de comunicar e trabalhar em rede de forma eficaz com uma ampla gama de pessoas para alcançar um amplo consenso sobre uma resposta bem coordenada e demonstra liderança quando necessário; - Capaz de compreender a lógica por trás da Reforma Humanitária, seus principais componentes e desenvolvimentos recentes, incluindo a Agenda Transformativa; - Capaz de compreender, utilizar e adaptar as ferramentas, mecanismos e processos desenvolvidos no âmbito da Reforma Humanitária; - Compromisso demonstrado com os Princípios Humanitários; - Compromisso demonstrado com os Princípios de Parceria; - Competências demonstradas em SIG (Sistema de informação geográfica) e na utilização de pacotes de cartografia; - Habilidades demonstradas na gestão de colheita e armazenamento de dados, para análise de diversos conjuntos de dados e apresentação de informações em tabelas, gráficos e relatórios compreensíveis; - Habilidades demonstradas em MS","[""Coordination""]"
"Security Manager, Sahel West Africa (based in Burkina Faso)
*\*\*For the right candidate MAG may consider other working locations in West Africa\*\** **The starting salary package for this position is £45,004 GBP / approx. $56,890 USD including all allowances** **About MAG:** **MAG saves lives and builds futures by working with others to reclaim land contaminated with the debris of conflict, to reduce the daily risk of death or injury for civilians, and to create safe and secure conditions for development. MAG shared the 1997 Nobel Peace Prize as a founding member of the International Campaign to Ban Landmines for our work to ban landmines. Our vision is a safe and secure future for men, women and children affected by armed violence and conflict.** **About MAG in Sahel West Africa** **MAG supports the development of countries emerging from conflict by finding and destroying the explosive remnants of war, so that communities can raise their families and pursue their livelihoods in a safe and secure environment, free from fear of death or injury. The main area of focus in MAG’s programmes across West Africa is Weapons and Ammunition Management (WAM), working with national defence and security authorities towards the safe storage, management and destruction of weapons and munitions.** **About the role:** This is an exciting opportunity to join the growing MAG global security team. MAG is seeking an enthusiastic and experienced Security Manager who will be responsible for ensuring the consistent application, management and monitoring of MAG’s security management framework across our Sahel and West Africa Programmes. Reporting to the Regional Security Manager, you will be based in Burkina Faso and will undertake travel to country programmes to provide MAG programmes in the region with access to quality security information and analysis, training, and expert support with the implementation of policies, standards and and procedures. You will conduct assessments, training and audit programme security. You will support the Regional Security Manager with the consistent application of a security management framework in order to enable MAG to meet its duty of care obligations in line with the Global Security Policy and Standard Operating Procedures. You will be developing and facilitating relationships between MAG and other stakeholders we engage with (national and local government, other humanitarian mine action actors, aid agencies and other security personnel). **About you:** The successful candidate will have extensive experience in security management in the West Africa region, and will need to be conversant with the techniques of violent attack, the planning and execution of safety and security protection, intelligence assessment, modern security equipment and first-hand knowledge of security management issues. Excellent communication and interpersonal skills, together with the capacity to remain calm under pressure and not losing sight of strategic priorities is vital to this role. For the full person specification, please see the job description. The working language in *most* programmes will be French, however, **fluency in both French and English is essential.** *Please note that as part of MAG's commitment to safeguarding, this post is subject to background checks before an offer of employment is confirmed. For more information on MAG’s approach to safeguarding and background checks, please click* [***here***](https://www.maginternational.org/accountability/safeguarding/)***. ***You can also find more information in the candidate information pack, available on the MAG website, using the link below.****** *MAG is committed to the principles of diversity, equality and inclusion. If you think you would be suited to one of our roles we would welcome your application regardless of your background. We strive to provide an inclusive and supportive working environment where all","[""Mine Action"",""Safety and Security""]"
"RDC - Chef de Projet
**COOPI recherche un Chef de Projet en RDC** Présente en RDC depuis 1977, COOPI y a fortement développé ses interventions au cours des 20 dernières années en réponse aux multiples crises qui ont déstabilisé le pays. L’organisation intervient désormais dans cinque provinces avec une coordination nationale à Kinshasa. La nutrition, la sécurité alimentaire et la protection sont les trois principaux secteurs d’activité en RDC. COOPI assure actuellement la Co-Facilitation du cluster Nutrition au niveau national, au coté du lead UNICEF. Par ailleurs, l’organisation développe une politique active de partenariat avec des ONG Internationales et Nationales. Grace à ces projets COOPI contribue à la lutte contre l’insécurité alimentaire, la malnutrition, le braconnage et la pression sur les ressources de deux parcs nationaux dans le Haut-Katanga et le Bas Uélé. Enfin, COOPI met également en œuvre plusieurs projets pluriannuels de réinsertion socioéconomique de victimes et enfants vulnérables, avec notamment l’appui du Fonds au Profit des Victimes de la CPI. ## Objectifs du poste - Apporter une **expertise en services sociaux de base**, notamment en prise en charge nutritionnelle et sanitaire des enfants ; - Assurer le **développement communautaire** apportant l'expertise de COOPI en matière de services sociaux de base. ## Responsabilités générales - Garantir la **correcte gestion du projet** sous tous points de vue (techniques, économiques, financiers, gestion des rrhh et matérielles), **avec une présence permanente sur le terrain,** dans le respect du contrat et du budget du projet, des procédures COOPI et de celles du bailleur de fonds ; - **Assurer l’obtention des résultats prévus** par le projet dans le respect du budget ; - **Organiser des réunions de coordination avec les partenaires** du projet, suit l’état d’avancement des activités du projet et des partenaires et propose des synergies. ## Responsabilités spécifiques **Gestion du projet** - **Programmer et contrôler** le déroulement des **activités** prévues dans le contrat, en collaboration avec le staff du projet ; - Préparer le **plan** de **travail opérationnel** et la documentation du projet concernant les changements éventuels au plan initial ; - Assurer que les systèmes de suivi du projet soient en place et effectifs et veiller au suivi des indicateurs et des activités ; - Effectuer un **suivi** régulier de la bonne mise en œuvre de toutes les **activités sur** le **terrain**, avec transmission des informations sur une base périodique et selon les besoins ; - Préparer tous les **comptes rendus, rapports techniques et financiers exigés** ; - Élaborer un compte-rendu de capitalisation de l'expérience développée dans le projet; - Assurer de **bonnes relations institutionnelles avec les bénéficiaires, les partenaires du projet, les autorités locales et le bailleur de fond** dans le respect des lignes de conduite de COOPI ; - Représenter directement ou organiser la représentation régulière de COOPI aux clusters nutrition, protection et sécurité alimentaire de Lubumbashi et groupes technique associés. **Responsabilités administratives/financières** - **Planification des dépenses** ; - Contrôler la cohérence des dépenses par rapport au budget du projet, et régulièrement les dépenses effectuées et superviser la comptabilité et la gestion de caisse et du compte du projet ; - Préparer le **plan d’achat** du projet. **Responsabilités logistiques/sécurité** - **Superviser et organiser la bonne préparation des ressources matérielles** nécessaires à l’exécution du projet ; - Assurer la bonne **gestion** des **biens** acquis pour le projet ; - Contrôler le **respect** effectif des **procédures** de **sécurité** par l'ensemble des membres de l'équipe ; - Contribuer à **analyser la situation sécuritaire** de la zone d'intervention du projet et décider des actions à mettre en","[""Coordination"",""Food and Nutrition"",""Protection and Human Rights""]"
"Protection Manager
**Danish Refugee Council (DRC)** is an international non-governmental organization, which promotes and supports durable solutions to the problems faced by refugees and internally displaced people all over the world. DRC is currently looking for three highly qualified Protection Managers for various locations: L’viv (1), Kyiv (1), Dnipro (1). DRC has been operating in Ukraine for more than 10 years with emergency and durable solution interventions for assisting IDPs, returnees, host communities, and conflict-affected populations. With the outbreak of the conflict in February 2022, DRC has shifted its programming to emergency response to meet the urgent needs of conflict-affected population in the country. Current DRC programming is focusing on protection activities such as protection monitoring, information dissemination, Individual protection assistance, mine victim assistance, and legal aid. DRC is also planning to add to the ongoing emergency protection response activities such as GBV prevention and response, Psychosocial assistance (PSS), and community-based protection. In addition to protection programming, DRC is currently implementing Multipurpose Cash Assistance (MPCA), NFI and Food distributions, Shelter & WASH interventions, and Economic Recovery, Humanitarian Demining and Explosive Ordnance Risk Education. The organization counts with 5 offices in the country. **About the job** DRC is managing its operations in Ukraine through its country office in Kyiv, and it has established or establishing operation offices in Chernivtsi, L´viv, Kyiv and Dnipro. The protection managers will be in charge of managing protection activities in field offices in L´viv, Kyiv and Dnipro covering various Oblasts (districts), and the Protection Manager in L’viv will supervise the Protection Team leader based in Chrnivtsi. The three positions will be based in L’viv (1), Kyiv (1), and Dnipro (1) depending on the security situation. The protection program will be coordinated and technically managed at country level by DRC Country Protection Coordinator. EACH position will include the management of approximately 10 national staff. **Your main duties and responsibilities will be:** - Project Management and implementation – protection activities. - Coordinate, plan and monitor all protection related project activities, management of protection monitoring, assessments, assistance, legal aid, PSS, and GBV prevention and response in Dnipro including the management of an international GBV manager. - Liaise permanently with DRC ´s partner organizations if present, UNHCR and other protection humanitarian actors in the intervention area - Ensure the highest quality of the sectoral interventions, and the coherence between all projects, ongoing and proposed, according to the overall strategy. - Take leadership of the project programs in terms of high quality and timely deliveries, narrative reporting and financial overviews, close cooperation with donors, Government counterparts and coordination mechanism on site and in synergy with other DRC interventions in the area. - Formalize and develop project related operational tools and training modules. - Provide inputs for monthly, quarterly, and annual donor reports. - Provide overall budget monitoring, financial management and expenses control for the program activities, including compliance with minimum DRC and donor requirements. **Program development and strategy** - Representation of DRC and active participation in sectoral and relevant sub sectors/working groups. - Oversee knowledge sharing across teams and ensure that monitoring and evaluation results are understood and used to improve programs. - Drive the development and growth of the relevant programs within the DRC program objectives and feed into country-wide strategy development. **Accountability and reporting** - Guided by the DRC","[""Protection and Human Rights""]"
